Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1opNjHif7khRzFruODfbcY,"Say my name","GFRIEND 3rd Mini Album 'SNOWFLAKE'","GFRIEND",2016-01-25,188331,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop,k-pop girl group","SOURCE MUSIC",0.696,0.865,5,-2.711,1,0.0629,0.164,0,0.0747,0.807,104.962,4
5D6rS5FCq6sLs6CQLF0duZ,"The Nights That I Miss You","Angel's last mission : love (Original Television Soundtrack)","L (INFINITE)",2019-07-10,262635,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"","㈜빅토리콘텐츠",0.416,0.342,6,-9.809,1,0.0298,0.762,0.000064,0.137,0.353,123.472,4
5QJqfcN4WWhPcsg3oVnLla,"LAST SONG","I Shall Debut","ONEWE,ONEUS",2018-09-27,217442,31,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop,k-pop boy group","RBW, Inc",0.554,0.773,2,-3.907,1,0.0679,0.0966,0,0.363,0.672,135.98,4
0Jl0gg7riUgpPyNhmPDG7w,"UhUh - Japanese Version","UhUh (Japanese Version)","RESCENE",2024-12-04,202746,27,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"5th gen k-pop","TheMuze Entertainment",0.799,0.8,2,-3.207,1,0.0809,0.0453,0,0.088,0.736,110.001,4
0QyLYuhCdzwVk9OkmvwAjh,"Jungle","HELLO Chapter 3: Hello, Strange Time","CIX",2020-10-27,228466,41,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop","WM Korea",0.487,0.805,2,-2.132,0,0.0539,0.142,0,0.198,0.213,146.065,4
1tDvNjVn4dRAMwp9nSpndC,"Mine","Armageddon - The 1st Album","aespa",2024-05-27,193253,22,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop girl group","SM Entertainment",0.724,0.572,10,-3.846,0,0.135,0.0483,0,0.257,0.685,144.922,4
2RZre24DUGyuMY1XgDuE0o,"Shining Bright","Shining Bright","BAE173,Ciipher,WOOAH",2021-11-15,190213,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop,k-pop boy group,k-pop girl group","Leeway Music & Media, Inc.",0.567,0.855,7,-3.104,1,0.0461,0.0817,0,0.489,0.696,139.995,4
0MvgUGhKvrStBo2XsPuwt6,"MOUNTAINS","ATE","Stray Kids",2024-07-19,187545,68,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop,k-pop boy group,pop","Republic Records - Stray Kids",0.512,0.943,8,-2.961,1,0.254,0.0121,0,0.359,0.551,180.025,4
7Lb4lZrCCSqV1pGP60BOfx,"Why Why Why","SHE'S THE BOSS","THE BOYZ",2022-05-27,208019,24,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop,k-pop boy group","Universal Music LLC",0.671,0.702,11,-6.032,1,0.0849,0.0429,0,0.365,0.785,91.988,4
2bk43y1inDfHx8fFdXar3l,"Rose","공감 (Empathy) - The 1st Mini Album","D.O.",2021-07-26,153720,54,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:48:15Z,"k-pop","SM Entertainment",0.677,0.352,0,-3.195,1,0.0374,0.48,0,0.133,0.671,74.703,3
