Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Fq319Q8JT19QgBqpAg0le,"2001","For Cryin' Out Loud!","FINNEAS",2024-10-04,200240,55,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"alt z,la indie,pop,pov: indie","OYOY, Inc.under exclusive license to Interscope Records",0.751,0.661,0,-8.015,1,0.0388,0.499,0.00533,0.0948,0.923,133.952,4
0BNUYmY7h3bkh6Q9SP3Wqw,"the LAST SHOW","killer show","Nightmare",2008-05-21,246760,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"j-metal,visual kei","VAP",0.475,0.949,1,-3.667,1,0.0819,0.00289,0.00000146,0.306,0.632,102.449,4
69P1IEJ9OHNBQtTQf9YRrM,"CONCRETE JUNGLE","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,220495,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"american metalcore","Sumerian Records",0.551,0.841,1,-5.259,1,0.0402,0.00102,0.00432,0.0698,0.451,91.966,4
0zMgwXDyZ5qaqXMLW3h4lr,"Venus Vs. Mars","The Blueprint 3","JAY-Z",2009-09-08,190813,37,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"east coast hip hop,gangster rap,hip hop,pop rap,rap","Roc Nation / Jay-Z",0.625,0.604,1,-5.385,1,0.252,0.0359,0.00135,0.124,0.195,97.94,4
6QitPoNJ9DPtBAA5N6LWYA,"She Likes Rock N Roll","Black Ice","AC/DC",2008-10-20,232946,35,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"australian rock,hard rock,rock","Columbia",0.596,0.651,9,-3.822,1,0.0368,0.00157,0.00000443,0.0762,0.587,103.844,4
73FhIADopPC7cJQtvywr75,"One Wrong Turn","(Un)Commentary","Alec Benjamin",2022-04-15,166140,49,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"alt z,pop,pov: indie","Elektra (NEK)",0.524,0.727,7,-5.194,0,0.0492,0.419,0.00000153,0.094,0.484,107.647,4
0dvHPCg8j0Hy1zRxsjBXPO,"The Light","SHE","Winona Oak",2020-10-23,174599,20,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"swedish pop","Neon Gold/Atlantic",0.533,0.421,11,-7.76,0,0.0534,0.591,0.00000713,0.345,0.317,142.117,4
0Egoda5xjJZgOMi2sFIL7c,"Turn Around","People In Motion","Dayglow",2022-10-07,199693,24,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"austindie,indie rock,pov: indie","Very Nice Records",0.597,0.731,4,-4.626,1,0.0291,0.0496,0.000149,0.107,0.901,109.979,4
6wJArVf1sP2cgxnlHWToAP,"Evident Utensil","Does You Inspire You","Chairlift",2008,172506,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"brooklyn indie,indietronica,metropopolis,neo-synthpop","Kanine",0.646,0.725,0,-7.075,1,0.0271,0.0165,0.0000242,0.0936,0.893,103.692,4
0I27tCo8rexgdYnhkSaL7k,"If My Friends Could See Me Now","Harlequin","Lady Gaga",2024-09-27,161733,47,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"art pop,dance pop,pop","Lil Monsters LLC under exclusive license to Interscope Records",0.607,0.882,5,-4.279,1,0.28,0.0465,0,0.123,0.163,117.792,4
5fmNZC36nZNq5jDcoECtj7,"Saturday","Believers Never Die - Greatest Hits","Fall Out Boy",2009-01-01,218000,24,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"emo,modern rock,pop,rock","Island Records",0.461,0.927,11,-3.605,1,0.0686,0.000901,0,0.304,0.624,97.967,4
14tt1h6FuQnWt2Q8lV6WD2,"Instincts","Defy","Of Mice & Men",2018-01-19,260509,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"alternative metal,melodic metalcore,metalcore,pop punk,post-grunge","Rise Records",0.418,0.983,1,-3.716,1,0.0679,0.0000404,0.056,0.29,0.394,161.077,4
19fhOFi6pNGeZe5uiFlm7c,"優しい彗星","優しい彗星","YOASOBI",2021-01-20,215333,58,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"j-pop,japanese teen pop","YOASOBI",0.715,0.722,5,-4.62,1,0.0348,0.197,0,0.114,0.522,89.995,4
78TCcb9Y9rNhwWz9inJCf0,"hey there nice to meet ya","things with wings","ericdoa",2022-05-20,122709,40,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"glitchcore,hyperpop","LISTEN TO THE KIDS/Interscope Records",0.601,0.848,6,-5.304,0,0.0307,0.0426,0,0.06,0.626,144.913,4
1dFGDaEdYVxfKBN1YFKLi8,"You're Gonna Get It","You're Gonna Get It!","Tom Petty and the Heartbreakers",1978-05-02,180960,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock","Rhino/Warner Records",0.705,0.652,9,-5.869,0,0.0246,0.146,0.00191,0.314,0.531,106.431,4
6ygEPi8EtVkUO0Xarcgs63,"MOTOMAMI","MOTOMAMI","ROSALÍA",2022-03-18,61346,53,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"pop,r&b en espanol","Columbia",0.887,0.331,2,-7.669,1,0.465,0.637,0.00532,0.0958,0.686,120.022,4
69O0RdcJkH7eimOTXw41L7,"Adventure","Adventure","YOASOBI",2024-02-16,200625,46,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"j-pop,japanese teen pop","YOASOBI",0.776,0.855,9,-3.757,1,0.0337,0.237,0,0.0707,0.856,128.024,4
5bHrzpO27EMIpzsseMPPsa,"Easy For You To Say","5SOS5","5 Seconds of Summer",2022-09-23,240031,0,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"boy band,pop","BMG Rights Management (US) LLC",0.527,0.709,7,-6.024,1,0.0374,0.0832,0,0.33,0.359,124.02,4
7zqbzmtpvJ9yqfnykmGYW6,"Flor (feat. Benito Martínez)","Flor (feat. Benito Martínez)","Los Rivera Destino,Benito Martinez",2019-06-16,173782,41,w8hl17thy7b1v0lhdscqksa7u,2025-01-10T01:38:32Z,"puerto rican indie","Sony Music Latin",0.486,0.46,9,-8.559,1,0.115,0.836,0.000819,0.263,0.559,181.895,4
